# Sea-Bird Data Export
# Original File: C:\CTD\CTD_Data\EMB356\EMB356_011-01_CTD_0010.hex
# Cruise: EMB356
# Station: EMB356_11-1
# Cast: 0010
# GPS Position: 54  9.308 N, 11 17.587 E
# Date: 08.02.2024 08:30:10

ScanCounter,TimeMs,Temperature_C,Pressure_dbar,Conductivity_S_m,Density_kg_m3,Depth_m,Voltage0,Voltage1,Voltage2,Voltage3,Voltage4
3204448443,693185032,-153.682343,-10.390584,5311818801790.177734,2124727521745.768799,-10.390584,18595,39596,17135,24297,65535
3187671227,693185032,-153.682282,-10.390584,5310767596964.683594,2124307039815.571045,-10.390584,18595,39532,17136,12014,65535
3187671227,693185032,-153.682313,-10.390584,5310417147385.745117,2124166859983.995605,-10.390584,18595,39484,16881,36598,65535
3187671227,693185032,-153.682251,-10.390584,5310417232686.430664,2124166894104.269775,-10.390584,18595,39452,17137,65272,65535
3170894011,693185032,-153.682251,-10.390584,5309366081254.279297,2123746433531.409424,-10.390584,18595,39404,17137,65272,65535
3187671227,693185032,-153.682313,-10.390584,5310066752020.265625,2124026701837.803955,-10.390584,18596,39340,16881,52983,65535
3187671227,693185032,-153.682282,-10.390584,5312519805013.895508,2125007923035.255859,-10.390584,22691,39292,17137,28407,65535
3170894011,693185032,-153.682313,-10.390584,5312169297618.946289,2124867720077.276123,-10.390584,18596,39244,16881,20215,65535
3170894011,693185032,-153.682190,-10.390584,5310767724924.900391,2124307090999.657471,-10.390584,18595,39196,16881,20215,65535
3170894011,693185032,-153.682190,-10.390584,5311468573480.308594,2124587430421.820801,-10.390584,18595,39180,16881,20210,65535
3154116795,693185032,-153.682221,-10.390584,5310767682271.328125,2124307073938.228516,-10.390584,18595,39164,16625,7904,65535
3187671227,693185032,-153.682159,-10.390584,5308315161767.240234,2123326065736.593506,-10.390584,18595,39164,16625,3802,65535
3170894011,693185032,-153.682159,-10.390584,5308665499344.846680,2123466200767.635986,-10.390584,18595,39164,16625,3802,65535
3170894011,693185032,-153.682251,-10.390584,5307964707856.840820,2123185884172.433838,-10.390584,18596,39180,16369,11984,65535
